@stratisplatform;734688391942524928;STRAT
@syscoin;119060937;SYS
@tenxwallet;4585412124;PAY
@transfercoin;2280119178;TX
@ubiqsmart;2917040642;UBQ
@vTorrentCrypto;2915543278;VTR
@vergecurrency;4826209539;XVG
@vericoinews;2499168360;VRC
@viacoin;2432540773;VIA
@wavesplatform;707515829798182912;WAVES
@wingsplatform;732169766450954240;WINGS
@zcashco;4633094778;ZEC
@zcoinofficial;810263154458578944;XZC
@zencash_io;834557983778623493;ZEN
@Bakaquy;1289245472;NEO
